,variable,RMSE_prophet,min_rmse
0,Calories Burned,660.8441863079255,308.22501314811996
1,Steps,4273.166583805377,2837.4157079641304
2,Distance,2.0264762909575538,1.501875529843554
3,Floors,31.22966237397192,47.12072809149935
4,Minutes Sedentary,233.83965874891564,77.30866499002349
5,Minutes Lightly Active,88.53911203038477,33.256458974040875
6,Minutes Fairly Active,14.051037561253441,9.54500617376138
7,Minutes Very Active,32.23867195426166,30.821316691702663
8,Activity Calories,725.1217616739909,329.6436533808678
